"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C2";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C3";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C4";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C5";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C6";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C7";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C8";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C9";"100pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C10";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C11";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C12";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C13";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C14";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C15";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C16";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C17";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C18";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C19";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C20";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C21";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C22";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C23";"100nF";"CAP-1206";"C1206";"Ceramic Capacitors";"";"";
"C24";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C25";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C26";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C27";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C28";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C29";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C30";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C31";"680nF DNP";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C32";"100pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C34";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C35";"22pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C36";"10uF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C37";"100nF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C38";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C39";"33pF";"CAP-0603";"C0603";"Ceramic Capacitors";"";"";
"C40";"22pF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C41";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C42";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";
"C43";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"CAP-08604";"0.1uF";
"C44";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"CAP-00810";"0.1uF";
"C45";"10uF";"10UF-POLAR-0603-6.3V-20%(TANT)";"0603-POLAR";"10.0µF polarized capacitors";"CAP-13210";"10uF";
"D1";"APA102-2020";"LED-RGB-8P-APA102-2020";"RGB2020";"";"";"";
"D2";"APA102-2020";"LED-RGB-8P-APA102-2020";"RGB2020";"";"";"";
"D3";"APA102-2020";"LED-RGB-8P-APA102-2020";"RGB2020";"";"";"";
"D4";"APA102-2020";"LED-RGB-8P-APA102-2020";"RGB2020";"";"";"";
"D5";"Yellow";"LED1206";"LED-1206";"LEDs";"";"";
"D6";"Blue";"LED1206";"LED-1206";"LEDs";"";"";
"D7";"Red";"LED1206";"LED-1206";"LEDs";"";"";
"J2";"JST-2P";"JST-2P-SMD'1.0'";"HW2-SMD-1.0-90D";"2P-SMD-1.0-90D:320110054;2P-SMD-2.0-90D:320110026";"";"";
"J3";"";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"CONN-14122";"";
"JP1";"M14";"M14";"1X14";"Header 14";"";"";
"JP2";"M14";"M14";"1X14";"Header 14";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"JP4";"AVR_SPI";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP5";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"JP6";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";
"K1";"PIN20X2";"PIN20X2";"PIN_20X2";"";"";"";
"K3";"";"BUTTON-4PDTSM-62K-S-V-T/R(SN431)";"SW4-SMD-6.0X6.0X5.0MM";"SW4-6.0X6.0X5.0MM:311020024;SW4-8.0X8.0X9.0MM:311020028;SW4-SMD-6.0X6.0X5.0MM:311020004;SW4-SMD-3.35X3.35X1.5MM:311020030;SW4-SMD-5.2X5.2X2.5MM:311020046";"";"";
"K4";"";"BUTTON-4PDTSM-62K-S-V-T/R(SN431)";"SW4-SMD-6.0X6.0X5.0MM";"SW4-6.0X6.0X5.0MM:311020024;SW4-8.0X8.0X9.0MM:311020028;SW4-SMD-6.0X6.0X5.0MM:311020004;SW4-SMD-3.35X3.35X1.5MM:311020030;SW4-SMD-5.2X5.2X2.5MM:311020046";"";"";
"L1";"BLM18BD252SN1";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"L2";"BLM18BD252SN1";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"L3";"BLM18BD252SN1";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"L6";"120R";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"L7";"120R";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"L8";"BLM18BD252SN1";"INDUCTOR/FERRITE-BEAD'1813'";"1813";"";"";"";
"MIC1";"SAO-3729-M-42-008";"MIC-MSM421A3729H8-C";"MIC4-SMD-3.76X2.95MM";"";"";"";
"MIC2";"SAO-3729-M-42-008";"MIC-MSM421A3729H8-C";"MIC4-SMD-3.76X2.95MM";"";"";"";
"MIC3";"SAO-3729-M-42-008";"MIC-MSM421A3729H8-C";"MIC4-SMD-3.76X2.95MM";"";"";"";
"MIC4";"SAO-3729-M-42-008";"MIC-MSM421A3729H8-C";"MIC4-SMD-3.76X2.95MM";"";"";"";
"R1";"5.1k";"RES-0603";"R0603";"";"";"";
"R2";"5.1k";"RES-0603";"R0603";"";"";"";
"R3";"330";"RES-0603";"R0603";"";"";"";
"R4";"10R";"RES-0603";"R0603";"";"";"";
"R5";"10R";"RES-0603";"R0603";"";"";"";
"R6";"10k";"RES-0603";"R0603";"";"";"";
"R7";"0R";"RES-0603";"R0603";"";"";"";
"R8";"10k";"RES-0603";"R0603";"";"";"";
"R9";"DNP";"RES-0603";"R0603";"";"";"";
"R10";"10R";"RES-0603";"R0603";"";"";"";
"R11";"10R";"RES-0603";"R0603";"";"";"";
"R12";"10R";"RES-0603";"R0603";"";"";"";
"R13";"10R";"RES-0603";"R0603";"";"";"";
"R14";"10k";"RES-0603";"R0603";"";"";"";
"R15";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R16";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R17";"330";"RES-0603";"R0603";"";"";"";
"R18";"10k";"RES-0603";"R0603";"";"";"";
"R19";"10R";"RES-0603";"R0603";"";"";"";
"R20";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";
"R21";"330";"RES-0603";"R0603";"";"";"";
